experiment,difficulty,context_precision,context_recall,faithfulness,answer_relevance,answer_correctness,rouge_l,retrieval_prec,retrieval_rec
2,easy,-0.04586111111111124,-0.00320459961891173,-0.002411292791366648,0.005241520404815736,0.0020356297492981623,0.01066578198173046,-0.008000000000000007,0.020000000000000018
2,hard,-0.005662393162393253,0.00014992768947896806,0.0005087678249066085,0.0008048717792217275,0.0013189535874587044,-3.207902330720769e-05,0.003076923076922977,0.01538461538461533
3,easy,0.06602777777777769,-0.0006843531131743852,0.013217249512672335,0.006516541242599483,0.006592539548873955,0.05268708801154903,0.09999999999999998,0.12
3,hard,0.016153846153846074,8.146487749538522e-05,-0.0018508553504944514,-0.0018088845106272178,-0.013279847915355969,-0.035916504668150676,0.0461538461538461,0.01538461538461533
4,easy,0.05944444444444441,0.0067778289318084495,0.009340637922286898,0.008146036863327044,0.006469712257385352,0.012612288444456887,0.040000000000000036,0.10000000000000009
4,hard,0.02267094017094018,0.01216034063926108,0.0010878498737628695,0.0059817525056692356,-0.006774528209979702,-0.007558413532117864,0.04923076923076919,0.01538461538461533
5,easy,0.022677144746787503,0.0026607441902161133,0.007441168427467337,0.01044493675231939,0.010975018739700415,0.0401240693059462,0.040000000000000036,0.20000000000000007
5,hard,-0.00834064965017356,0.008335337272057153,0.0008641009147350998,0.003896517936999966,-0.007304499699519185,-0.029747030470105074,-0.003076923076923088,0.01538461538461533
6,easy,0.022899366969009738,0.0031154870986939143,0.016047865748405443,-0.034484350681304954,0.043485460281372124,0.2726285175551117,0.040000000000000036,0.20000000000000007
6,hard,-0.00834064965017356,0.008335337272057153,-0.008360563791715236,-0.05026197891968953,0.005424853471609259,0.1492612878431617,-0.003076923076923088,0.01538461538461533
